Citizenship,Immigration,Emigration,Net migration,Percentage stay
Tonga,1,0,1,100.0
South and central America not stated,1,0,1,100.0
Tuvalu,1,0,1,100.0
Vatican City State,1,0,1,100.0
Djibouti,6,0,6,100.0
Guyana,6,0,6,100.0
Comoros,3,0,3,100.0
Equatorial Guinea,2,0,2,100.0
Eritrea,6470,629,5841,90.3
Stateless,3946,677,3269,82.8
Republic of North Macedonia,1224,256,968,79.1
Saint Kitts and Nevis,9,2,7,77.8
"Congo, Democratic Republic",891,201,690,77.4
Syria,27479,6281,21198,77.1
Uganda,1375,337,1038,75.5
Afghanistan,3599,898,2701,75.0
Not stated,3352,871,2481,74.0
Bangladesh,6289,1750,4539,72.2
South Sudan,14,4,10,71.4
Sri Lanka,1635,471,1164,71.2
Iran,12632,3749,8883,70.3
Albania,984,298,686,69.7
Tajikistan,23,7,16,69.6
Panama,118,38,80,67.8
Laos,27,9,18,66.7
Grenada,6,2,4,66.7
Europe not stated,6,2,4,66.7
Asia not stated,9,3,6,66.7
Lesotho,6,2,4,66.7
Kosovo,517,177,340,65.8
Tanzania,628,220,408,65.0
"Gambia, The",185,65,120,64.9
Ukraine,61566,22257,39309,63.8
Mozambique,52,19,33,63.5
Montenegro,200,75,125,62.5
Nepal,11217,4212,7005,62.4
Cape Verde,13,5,8,61.5
Nicaragua,77,30,47,61.0
Moldova,642,251,391,60.9
Morocco,1124,444,680,60.5
Vietnam,4025,1609,2416,60.0
Namibia,49,20,29,59.2
Rwanda,116,48,68,58.6
Venezuela,377,159,218,57.8
El Salvador,54,23,31,57.4
Botswana,21,9,12,57.1
Madagascar,25,11,14,56.0
Guinea-Bissau,18,8,10,55.6
Haiti,27,12,15,55.6
Lebanon,793,358,435,54.9
Armenia,201,91,110,54.7
South Africa,1179,539,640,54.3
Serbia,1538,719,819,53.3
United Arab Emirates,15,7,8,53.3
Cambodia,125,60,65,52.0
Burundi,77,37,40,51.9
Belarus,583,283,300,51.5
Kenya,975,474,501,51.4
Uzbekistan,323,157,166,51.4
Tunisia,389,189,200,51.4
Azerbaijan,271,134,137,50.6
Croatia,4675,2323,2352,50.3
Solomon Islands,2,1,1,50.0
Suriname,2,1,1,50.0
Bhutan,22,11,11,50.0
Dominica,14,7,7,50.0
Portugal,10266,5150,5116,49.8
Thailand,4783,2425,2358,49.3
Cuba,199,101,98,49.2
Jordan,364,185,179,49.2
Greece,6413,3307,3106,48.4
Dominican Republic,106,55,51,48.1
Cyprus,444,231,213,48.0
Algeria,286,149,137,47.9
Honduras,86,45,41,47.7
Zambia,166,87,79,47.6
Peru,533,281,252,47.3
Pakistan,5539,2926,2613,47.2
Kyrgyzstan,172,91,81,47.1
Liberia,32,17,15,46.9
Yemen,77,41,36,46.8
Iraq,1830,980,850,46.4
Turkey,7195,3855,3340,46.4
Russia,4038,2245,1793,44.4
Georgia,280,156,124,44.3
Turkmenistan,14,8,6,42.9
Kuwait,14,8,6,42.9
Nigeria,1137,652,485,42.7
Niger,12,7,5,41.7
Mauritius,65,38,27,41.5
Malta,181,106,75,41.4
Maldives,17,10,7,41.2
