Citizenship,Immigration_2023,Emigration_2023,Net_migration_2023,Percentage_stay_2023,Immigration_2024,Emigration_2024,Net_migration_2024,Percentage_stay_2024,Percentage_stay_change,Absolute_change
Latvia,6486.0,5000.0,1486.0,22.9,6365.0,4931.0,1434.0,22.5,-0.3999999999999986,0.3999999999999986
Hungary,9289.0,6156.0,3133.0,33.7,9245.0,6155.0,3090.0,33.4,-0.30000000000000426,0.30000000000000426
Belgium,4071.0,3231.0,840.0,20.6,4246.0,3385.0,861.0,20.3,-0.3000000000000007,0.3000000000000007
Estonia,1636.0,1630.0,6.0,0.4,1511.0,1500.0,11.0,0.7,0.29999999999999993,0.29999999999999993
Sweden,18666.0,12317.0,6349.0,34.0,19103.0,12549.0,6554.0,34.3,0.29999999999999716,0.29999999999999716
Mexico,2543.0,1720.0,823.0,32.4,2691.0,1826.0,865.0,32.1,-0.29999999999999716,0.29999999999999716
Portugal,9493.0,4747.0,4746.0,50.0,10266.0,5150.0,5116.0,49.8,-0.20000000000000284,0.20000000000000284
Iraq,1883.0,1005.0,878.0,46.6,1830.0,980.0,850.0,46.4,-0.20000000000000284,0.20000000000000284
Republic of North Macedonia,1148.0,242.0,906.0,78.9,1224.0,256.0,968.0,79.1,0.19999999999998863,0.19999999999998863
Nigeria,1158.0,662.0,496.0,42.8,1137.0,652.0,485.0,42.7,-0.09999999999999432,0.09999999999999432
South Africa,1083.0,496.0,587.0,54.2,1179.0,539.0,640.0,54.3,0.09999999999999432,0.09999999999999432
Ireland,4002.0,2556.0,1446.0,36.1,4497.0,2874.0,1623.0,36.1,0.0,0.0
"Congo, Democratic Republic",1002.0,188.0,814.0,81.2,,,,,,
New Zealand,,,,,1001.0,849.0,152.0,15.2,,
Uganda,,,,,1375.0,337.0,1038.0,75.5,,
